newStory*************************************
newScene0*************************************

1	او	PR	SBJ	5	يوسف§n-23957	نفر§n-13075	role	Arg0		1+||| ROLE	
17	گردن	N	NVE	18	گردن§n-10188	شيء§n-12703	no		||| JUNK	
18	مي‌نهند	V	PRD	12	سر فرود آوردن§v-8964	رخداد§n-13136	role_action		13||| ROLE	

1	و	CONJ	VCONJ	7	null	null	junk		||| NO	
2	خداوند	N	SBJ	7	باري تعالي§n-11940	خصوصيت_رواني§n-12725	no	Arg0	Arg0		||| JUNK	ROLE_STATE	
3	او	PR	PREDEP	4	يوسف§n-23957	نفر§n-13075	role		*1-||| ROLE_ACTION	
4	را	POSTP	OBJ	7	null	null	junk	Arg1		||| JUNK	
5	به	PREP	VPP	7	null	null	junk	Arg3		||| %%%%
6	پيامبري	N	VPP	7	null	null	role_state	Arg3		3||| NO	
7	برمي‌گزيند	V	VCONJ	14	گزيدن§v-7948	رخداد§n-13136	no		||| JUNK	
8	و	CONJ	VCONJ	14	null	null	junk		||| TIME	
9	تعبير	N	OBJ	14	تعبير§n-20347	خصوصيت_رواني§n-12725	no	Arg1		||| ROLE_INTENT	
10	خواب	N	MOZ	9	رويا§n-15102	خصوصيت_رواني§n-12725	no		||| JUNK	
11	را	POSTP	OBJ	14	null	null	junk	Arg1		||| JUNK	
12	به	PREP	VPP	14	null	null	junk	Arg3		||| JUNK	
13	او	PR	POSDEP	12	يوسف§n-23957	نفر§n-13075	role		*1-||| TIME	
14	مي‌آموزد	V	ROOT	0	تدريس کردن§v-9219	رخداد§n-13136	no		||| JUNK	
15	.	PUNC	PUNC	14	null	null	junk		||| JUNK	

1	همچنين	ADV	ADVRB	9	null	null	junk	ArgM_ADV		||| JUNK	
2	خواب	N	SBJ	9	رويا§n-15102	خصوصيت_رواني§n-12725	no	Arg1		||| NO	
3	ديدن	N	MOZ	2	رويت کردن§v-8581	رخداد§n-13136	no		4||| JUNK	
4	يوسف	N	MOZ	3	يوسف§n-23957	نفر§n-13075	role		||| JUNK	
5	و	CONJ	NCONJ	2	null	null	junk		||| ROLE	
6	الهامات	N	NCONJ	2	null	null	no		||| ROLE_STATE	
7	ديگر	PR	MOZ	6	null	null	junk		6||| ROLE	
8	موجب	N	MOS	9	مسبب§n-13036	مسبب§n-13036	no	Arg2		||| ROLE	
9	شد	V	ROOT	0	null	null	junk		||| JUNK	
10	که	SUBR	NCL	8	null	null	junk		||| JUNK	
11	يعقوب	N	SBJ	20	يعقوب§n-23940	نفر§n-13075	role	Arg0		||| JUNK	
12	امتياز	N	OBJ	20	برتري§n-11247	مشخصه§n-12756	role_state	Arg1		11||| ROLE	
13	و	CONJ	NCONJ	12	null	null	junk		||| JUNK	
14	عظمت	N	NCONJ	12	null	null	role_state		11||| JUNK	
15	خاصي	ADJ	NPOSTMOD	12	مختص§a-1538	مشخصه§n-12756	no		||| JUNK	
16	در	PREP	NPP	19	null	null	junk	ArgM_LOC		||| ROLE	
17	چهره	N	NPP	19	null	null	no	ArgM_LOC		||| JUNK	
18	يوسف	N	MOZ	17	يوسف§n-23957	نفر§n-13075	role		||| ROLE	
19	مشاهده	N	NVE	20	null	رخداد§n-13136	no		||| JUNK	
20	کند	V	PRD	10	رويت کردن§v-8581	رخداد§n-13136	role_action		11||| JUNK	

1	و	CONJ	VCONJ	2	null	null	junk		||| JUNK	
2	مي‌دانست	V	ROOT	0	دانستن§v-8456	رخداد§n-13136	no		||| JUNK	
3	که	SUBR	VCL	2	null	null	junk	Arg1		||| JUNK	
4	آينده	N	OBJ	6	آتيه§n-13503	اندازه§n-12768	time	Arg1		||| %%%%
5	درخشاني	ADJ	NPOSTMOD	4	null	مشخصه§n-12756	role_state		18||| TIME	
6	دارد	V	PRD	3	null	null	junk		||| JUNK	
7	،	PUNC	PUNC	6	null	null	junk		||| ROLE_INTENT	
roles= [
	[3	پدر	N	POSDEP	2	والد§n-13357	نفر§n-13075	role		||| JUNK	]
	[19	م	PR	POSDEP	18	يوسف§n-23957	نفر§n-13075	role		*1-||| JUNK	]
	[1	حضرت	N	SBJ	10	null	null	role	Arg0	Arg0		||| JUNK	STATIC_OBJECT_STATE	]
	[2	يعقوب	N	MOZ	1	يعقوب§n-23940	نفر§n-13075	role		||| LOCATION	]
			[11	يعقوب	N	SBJ	20	يعقوب§n-23940	نفر§n-13075	role	Arg0		||| JUNK	]
	[9	او	PR	POSDEP	8	يوسف§n-23957	نفر§n-13075	role		*1-||| ROLE	]
			[3	او	PR	PREDEP	4	يوسف§n-23957	نفر§n-13075	role		*1-||| ROLE_ACTION	]
			[13	او	PR	POSDEP	12	يوسف§n-23957	نفر§n-13075	role		*1-||| TIME	]
	[13	خود	PR	MOZ	12	يوسف§n-23957	نفر§n-13075	role		*1-||| JUNK	]
	[16	برادران	N	POSDEP	15	برادر§n-14090	نفر§n-13075	role		||| ROLE	]
	[17	ش	PR	MOZ	16	يوسف§n-23957	نفر§n-13075	role		*1-||| ROLE_STATE	]
			[3	ش	PR	POSDEP	2	يوسف§n-23957	نفر§n-13075	role		*1-||| JUNK	]
			[15	ش	PR	MOZ	14	يوسف§n-23957	نفر§n-13075	role		*1-||| ROLE_INTENT	]
	[13	همه	N	SBJ	18	null	null	role	Arg0		||| ROLE	]
	[4	يوسف	N	MOZ	3	يوسف§n-23957	نفر§n-13075	role		||| JUNK	]
			[18	يوسف	N	MOZ	17	يوسف§n-23957	نفر§n-13075	role		||| ROLE	]]
DynamicObjects= []
StaticObjects= [
	[13	ستاره	N	SBJ	21	ستاره§n-14529	شيء§n-12703	static_object	Arg0		||| ROLE	]
	[15	خورشيد	N	NCONJ	13	null	null	static_object		||| NO	]
	[17	ماه	N	NCONJ	15	null	null	static_object		||| JUNK	]]
location= []
alternativeLocations= [
	[2	نزد	PREP	VPP	4	محضر§n-10120	جا§n-12733	location	Arg4		loc||| STATIC_OBJECT	]]
time= []
alternativeTimes= [
	[1	صبح	N	ADVRB	4	صبح§n-12638	دوره_زماني§n-12603	time	ArgM_TMP		tim||| LOCATION	]
	[8	آينده	N	ADVRB	11	فردا§n-12611	دوره_زماني§n-12603	time	ArgM_TMP		||| JUNK	]
	[4	آينده	N	OBJ	6	آتيه§n-13503	اندازه§n-12768	time	Arg1		||| %%%%]]
scene_goals= []
scene_emotions= []
role_actions= [
	[4	آمده	V	PREDEP	5	آمدن§v-7847	رخداد§n-13136	role_action		19||| LOCATION	]
	[6	گفت	V	ROOT	0	گفتن§v-9244	رخداد§n-13136	role_action		19||| JUNK	]
	[10	ديدم	V	VCL	6	رويت کردن§v-8581	رخداد§n-13136	role_action		19||| JUNK	]
	[10	خواست	V	ROOT	0	خواستن§v-19251	رخداد§n-13136	role_action		||| JUNK	]
	[5	ساخت	V	PRD	1	کردن§v-8678	رخداد§n-13136	role_action		2-||| JUNK	]
	[18	مي‌نهند	V	PRD	12	سر فرود آوردن§v-8964	رخداد§n-13136	role_action		13||| ROLE	]
	[20	کند	V	PRD	10	رويت کردن§v-8581	رخداد§n-13136	role_action		11||| JUNK	]]
role_states= [
	[4	روشن	ADJ	MOS	5	گويا§a-268	مشخصه§n-12756	role_state	Arg2		3||| %%%%]
	[9	شخصيتي	N	MOS	11	شخصيت§n-11163	مشخصه§n-12756	role_state	Arg2		3||| JUNK	]
	[10	برجسته	ADJ	NPOSTMOD	9	null	مشخصه§n-12756	role_state		3||| ROLE_STATE	]
	[6	پيامبري	N	VPP	7	null	null	role_state	Arg3		3||| NO	]
	[12	امتياز	N	OBJ	20	برتري§n-11247	مشخصه§n-12756	role_state	Arg1		11||| ROLE	]
	[14	عظمت	N	NCONJ	12	null	null	role_state		11||| JUNK	]
	[5	درخشاني	ADJ	NPOSTMOD	4	null	مشخصه§n-12756	role_state		18||| TIME	]]
role_intents= []
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= [
	[20	سجده	N	NVE	21	سجده§n-25850	رخداد§n-13136	static_object_state		13||| JUNK	]]

newScene2*************************************

1	در	PREP	ADVRB	7	null	null	junk	ArgM_TMP		||| NO	
2	يکي‌از	ADJ	NPREMOD	3	null	null	no		3||| NO	
3	روزها	N	ADVRB	7	روز§n-12632	دوره_زماني§n-12603	time	ArgM_TMP		tim||| ROLE_INTENT	
4	نزد	PREP	VPP	7	محضر§n-10120	جا§n-12733	location	Arg4		loc||| JUNK	
5	پدر	N	POSDEP	4	والد§n-13357	نفر§n-13075	role		||| JUNK	
6	شان	PR	MOZ	5	null	null	role		*1-||| JUNK	
7	آمدند	V	VCONJ	11	آمدن§v-7847	رخداد§n-13136	role_action		6||| ROLE	
8	و	CONJ	VCONJ	11	null	null	junk		||| JUNK	
9	از	PREP	VPP	11	null	null	junk	Arg3		||| NO	
10	پدر	N	VPP	11	والد§n-13357	نفر§n-13075	role	Arg3		||| JUNK	
11	خواستند	V	PREDEP	20	خواستن§v-19251	رخداد§n-13136	role_action		6||| JUNK	
12	تا	SUBR	VCL	11	null	null	junk	Arg1		||| %%%%
13	يوسف	N	OBJ	19	يوسف§n-23957	نفر§n-13075	role	Arg1		||| ROLE	
14	را	POSTP	OBJ	19	null	null	junk	Arg1		||| JUNK	
15	همراه	N	ADVRB	19	همراه§n-10369	رخداد§n-13136	role_intent	ArgM_COM		15||| JUNK	
16	خود	PR	MOZ	15	null	null	role		6||| JUNK	
17	به	PREP	VPP	19	null	null	junk	Arg4		||| JUNK	
18	صحرا	N	VPP	19	صحرا§n-16714	جا§n-12733	location	Arg4		||| JUNK	
19	ببرند	V	VCL	11	بردن§v-7660	رخداد§n-13136	role_action		6||| NO	
20	ولي	CONJ	VCONJ	26	null	null	junk		||| JUNK	
21	يعقوب	N	SBJ	26	يعقوب§n-23940	نفر§n-13075	role	Arg0		||| ROLE_ACTION	
22	به	PREP	NPP	24	null	null	junk	Arg3		||| JUNK	
23	آن‌ها	PR	NPP	24	برادر§n-14090	نفر§n-13075	role	Arg3		6||| ROLE	
24	پاسخ	N	NVE	26	پاسخ§n-11519	رخداد§n-13136	no		||| NO	
25	مثبت	ADJ	NPOSTMOD	24	مثبت§a-219	مشخصه§n-12756	role_intent		21||| ROLE	
26	نمي‌داد	V	ROOT	0	جواب دادن§v-8114	رخداد§n-13136	role_action		21||| JUNK	
27	.	PUNC	PUNC	26	null	null	junk		||| ROLE_ACTION	

1	بعداز	PREP	ADVRB	18	null	null	no	ArgM_TMP		||| %%%%
2	آن	PR	POSDEP	1	null	null	junk		||| JUNK	
3	که	SUBR	NCL	2	null	null	junk		||| ROLE	
4	احساس	N	NVE	5	برداشت§n-14027	خصوصيت_رواني§n-12725	no		||| ROLE	
5	کردند	V	PRD	3	null	null	junk		||| ROLE	
6	پدر	N	SBJ	14	والد§n-13357	نفر§n-13075	role	Arg0		||| JUNK	
7	،	PUNC	PUNC	6	null	null	junk		||| NO	
8	يوسف	N	OBJ	14	يوسف§n-23957	نفر§n-13075	role	Arg1		||| JUNK	
9	را	POSTP	OBJ	14	null	null	junk	Arg1		||| JUNK	
10	از	PREP	VPP	14	null	null	junk	Arg3		||| %%%%
11	آن‌ها	PR	VPP	14	برادر§n-14090	نفر§n-13075	role	Arg3		*1-||| ROLE	
12	دور	ADV	ADVRB	14	دور§a-2270	مشخصه§n-12756	role_intent	Arg2		8||| JUNK	
13	نگه	N	NVE	14	null	null	no		||| JUNK	
14	مي‌دارد	V	VCL	5	null	رخداد§n-13136	role_action		6||| JUNK	
15	،	PUNC	PUNC	14	null	null	junk		||| JUNK	
16	به	PREP	VPP	18	null	null	junk	Arg3		||| JUNK	
17	او	PR	POSDEP	16	والد§n-13357	نفر§n-13075	role		6||| JUNK	
18	گفتند	V	ROOT	0	گفتن§v-9244	رخداد§n-13136	role_action		*1-||| JUNK	
19	چرا	UNKNOWN	ADVRB	25	null	null	junk	ArgM_CAU		||| JUNK	
20	درمورد	PREP	ADVRB	25	null	null	no	ArgM_ADV		||| JUNK	
21	يوسف	N	POSDEP	20	يوسف§n-23957	نفر§n-13075	role		||| STATIC_OBJECT	
22	به	PREP	NPP	24	null	null	junk	Arg3		||| ROLE_STATE	
23	ما	PR	POSDEP	22	null	null	junk		*1-||| NO	
24	اطمينان	N	NVE	25	اعتماد§n-11208	مشخصه§n-12756	role_intent		6||| JUNK	
25	نمي‌کني	V	VCL	18	اعتماد داشتن§v-9414	رخداد§n-13136	no		6||| JUNK	
26	تا	SUBR	AJUCL	25	null	null	junk		ArgM_CAU2||| ROLE_INTENT	
27	او	PR	PREDEP	28	يوسف§n-23957	نفر§n-13075	role	Arg0		21||| ROLE_ACTION	
28	را	POSTP	OBJ	31	null	null	junk	Arg1		||| JUNK	
29	به	PREP	VPP	31	null	null	junk	Arg4		||| %%%%
30	دشت	N	VPP	31	دشت§n-13308	شيء§n-12703	location	Arg4		||| NO	
31	ببريم	V	AJUCL	25	بردن§v-7660	رخداد§n-13136	no		11||| JUNK	
32	تا	SUBR	AJUCL	31	null	null	junk	ArgM_CAU		||| TIME	
33	در	PREP	ADVRB	36	null	null	junk	ArgM_LOC		||| ROLE	
34	آنجا	N	POSDEP	33	null	null	junk		||| ROLE	
35	بازي	N	NVE	36	بازي§n-13574	رخداد§n-13136	role_intent		21||| NO	
36	کند	V	PREDEP	37	null	null	junk		||| ROLE_STATE	
37	و	CONJ	VCONJ	40	null	null	junk		||| ROLE_STATE	
38	به	PREP	VPP	40	null	null	junk	Arg3		||| NO	
39	شادماني	N	VPP	40	null	null	role_state	Arg3		27||| LOCATION	
40	بپردازد	V	AJUCL	31	پرداختن§v-19365	رخداد§n-13136	no		27||| JUNK	
41	؟	PUNC	PUNC	18	null	null	junk		||| JUNK	

1	اگر	SUBR	AJUCL	9	null	null	junk	ArgM_CND		||| JUNK	
2	گرگ	N	SBJ	5	گرگ§n-19212	جان_دار§n-10393	dynamic_object	Arg0		||| NO	
3	او	PR	PREDEP	4	يوسف§n-23957	نفر§n-13075	role		8-||| ROLE_STATE	
4	را	POSTP	OBJ	5	null	null	junk	Arg1		||| NO	
5	بخورد	V	PRD	1	خوردن§v-7695	رخداد§n-13136	dynamic_object_action		2||| JUNK	
6	ما	PR	SBJ	9	null	null	role	Arg1		*1-||| %%%%
7	از	PREP	MOS	9	null	null	junk	Arg2		||| TIME	
8	زيانکاران	N	MOS	9	خسارت‌ديده§a-657	مشخصه§n-12756	role_state	Arg2		6||| NO	
9	خواهيم‌بود	V	ROOT	0	بودن§v-16430	رخداد§n-13136	role_action		6||| JUNK	
10	.	PUNC	PUNC	9	null	null	junk		||| JUNK	
roles= [
	[5	پدر	N	POSDEP	4	والد§n-13357	نفر§n-13075	role		||| JUNK	]
			[10	پدر	N	VPP	11	والد§n-13357	نفر§n-13075	role	Arg3		||| JUNK	]
			[6	پدر	N	SBJ	14	والد§n-13357	نفر§n-13075	role	Arg0		||| JUNK	]
	[6	شان	PR	MOZ	5	null	null	role		*1-||| JUNK	]
	[13	يوسف	N	OBJ	19	يوسف§n-23957	نفر§n-13075	role	Arg1		||| ROLE	]
			[8	يوسف	N	OBJ	14	يوسف§n-23957	نفر§n-13075	role	Arg1		||| JUNK	]
			[21	يوسف	N	POSDEP	20	يوسف§n-23957	نفر§n-13075	role		||| STATIC_OBJECT	]
	[16	خود	PR	MOZ	15	null	null	role		6||| JUNK	]
	[21	يعقوب	N	SBJ	26	يعقوب§n-23940	نفر§n-13075	role	Arg0		||| ROLE_ACTION	]
	[23	آن‌ها	PR	NPP	24	برادر§n-14090	نفر§n-13075	role	Arg3		6||| ROLE	]
			[11	آن‌ها	PR	VPP	14	برادر§n-14090	نفر§n-13075	role	Arg3		*1-||| ROLE	]
	[17	او	PR	POSDEP	16	والد§n-13357	نفر§n-13075	role		6||| JUNK	]
	[27	او	PR	PREDEP	28	يوسف§n-23957	نفر§n-13075	role	Arg0		21||| ROLE_ACTION	]
			[3	او	PR	PREDEP	4	يوسف§n-23957	نفر§n-13075	role		8-||| ROLE_STATE	]
	[6	ما	PR	SBJ	9	null	null	role	Arg1		*1-||| %%%%]]
DynamicObjects= [
	[2	گرگ	N	SBJ	5	گرگ§n-19212	جان_دار§n-10393	dynamic_object	Arg0		||| NO	]]
StaticObjects= []
location= []
alternativeLocations= [
	[4	نزد	PREP	VPP	7	محضر§n-10120	جا§n-12733	location	Arg4		loc||| JUNK	]
	[18	صحرا	N	VPP	19	صحرا§n-16714	جا§n-12733	location	Arg4		||| JUNK	]
	[30	دشت	N	VPP	31	دشت§n-13308	شيء§n-12703	location	Arg4		||| NO	]]
time= []
alternativeTimes= [
	[3	روزها	N	ADVRB	7	روز§n-12632	دوره_زماني§n-12603	time	ArgM_TMP		tim||| ROLE_INTENT	]]
scene_goals= []
scene_emotions= []
role_actions= [
	[7	آمدند	V	VCONJ	11	آمدن§v-7847	رخداد§n-13136	role_action		6||| ROLE	]
	[11	خواستند	V	PREDEP	20	خواستن§v-19251	رخداد§n-13136	role_action		6||| JUNK	]
	[19	ببرند	V	VCL	11	بردن§v-7660	رخداد§n-13136	role_action		6||| NO	]
